m0 , 10 things i hate about you ,1999,6.9,62847," ['comedy', 'romance']", http://www.dailyscript.com/scripts/10Things.html
m1 , 1492: conquest of paradise ,1992,6.2,10421," ['adventure', 'biography', 'drama', 'history']", http://www.hundland.org/scripts/1492-ConquestOfParadise.txt
m2 , 15 minutes ,2001,6.1,25854," ['action', 'crime', 'drama', 'thriller']", http://www.dailyscript.com/scripts/15minutes.html
m3 , 2001: a space odyssey ,1968,8.4,163227," ['adventure', 'mystery', 'sci-fi']", http://www.scifiscripts.com/scripts/2001.txt
m4 , 48 hrs. ,1982,6.9,22289," ['action', 'comedy', 'crime', 'drama', 'thriller']", http://www.awesomefilm.com/script/48hours.txt
m5 , the fifth element ,1997,7.5,133756," ['action', 'adventure', 'romance', 'sci-fi', 'thriller']", http://www.scifiscripts.com/scripts/5thelement.txt
m6 , 8mm ,1999,6.3,48212," ['crime', 'mystery', 'thriller']", http://www.dailyscript.com/scripts/eight-millimeter.html
m7 , a nightmare on elm street 4: the dream master ,1988,5.2,13590," ['fantasy', 'horror', 'thriller']", http://www.hundland.org/scripts/A-Nightmare-on-Elm-Street-4.txt
m8 , a nightmare on elm street: the dream child ,1989,4.7,11092," ['fantasy', 'horror', 'thriller']", http://www.hundland.org/scripts/A-Nightmare-on-Elm-Street-5.txt
m9 , the atomic submarine ,1959,4.9,513," ['sci-fi', 'thriller']", http://leonscripts.tripod.com/scripts/ATOMICSUB.htm
m10 , affliction ,1997,6.9,7252," ['drama', 'mystery', 'thriller']", http://www.dailyscript.com/scripts/Affliction.txt
m11 , air force one ,1997,6.3,61978," ['action', 'drama', 'thriller']", http://www.dailyscript.com/scripts/AirForceOne_TXT.html
m12 , airplane ii: the sequel ,1982,5.8,15210," ['comedy', 'romance', 'sci-fi']", http://www.dailyscript.com/scripts/Airplane2_script.htm
m13 , airplane! ,1980,7.8,57692," ['comedy', 'romance']", http://www.dailyscript.com/scripts/Airplane_script.htm
m14 , alien nation ,1988,6.1,5590," ['crime', 'drama', 'sci-fi', 'thriller']", http://www.dailyscript.com/scripts/Alien_Nation_Bannon_Cameron_October_1987.html
m15 , aliens ,1986,8.5,173518," ['action', 'sci-fi', 'thriller']", http://www.horrorlair.com/scripts/aliens.html
m16 , amadeus ,1984,8.4,99138," ['biography', 'drama', 'music']", http://www.dailyscript.com/scripts/Amadeus.txt
m17 , an american werewolf in london ,1981,7.5,24443," ['horror', 'romance']", http://www.dailyscript.com/scripts/American%20Werewolf%20In%20London
m18 , american madness ,1932,7.4,702, ['drama'], http://www.dailyscript.com/scripts/American_Madness.html
m19 , american outlaws ,2001,5.7,7425," ['action', 'western']", http://www.dailyscript.com/scripts/American_Outlaws.html
m20 , american psycho ,2000,7.4,101357," ['drama', 'thriller']", http://www.dailyscript.com/scripts/american_psycho_unproduced.html
m21 , antitrust ,2001,6,16453," ['drama', 'thriller']", http://www.dailyscript.com/scripts/Antitrust.txt
m22 , austin powers: international man of mystery ,1997,7.1,75240," ['action', 'adventure', 'comedy', 'crime']", http://www.dailyscript.com/scripts/Austin%20Powers%20-%20International%20Man%20Of%20Mystery.txt
m23 , the avengers ,1998,3.4,21519," ['action', 'adventure', 'thriller']", http://www.dailyscript.com/scripts/Avengers.html
m24 , bachelor party ,1984,5.9,14050," ['comedy', 'romance']", http://www.dailyscript.com/scripts/Bachelor%20Party.txt
m25 , backdraft ,1991,6.6,28541," ['action', 'crime', 'drama', 'mystery', 'thriller']", http://www.dailyscript.com/scripts/Backdraft%20(1991).txt
m26 , bad lieutenant ,1992,6.9,13908," ['crime', 'drama']", http://www.dailyscript.com/scripts/Bad%20Lieutenant.txt
m27 , bamboozled ,2000,6.3,5995," ['comedy', 'drama', 'music']", http://www.awesomefilm.com/script/Bamboozled.txt
m28 , barry lyndon ,1975,8.1,40622," ['drama', 'romance', 'war']", http://www.dailyscript.com/scripts/BarryLyndon.html
m29 , basic ,2003,6.3,26295," ['crime', 'drama', 'mystery', 'thriller']", http://www.dailyscript.com/scripts/Basic.txt
m30 , big fish ,2003,8.1,144264," ['adventure', 'drama', 'fantasy']", http://www.dailyscript.com/scripts/Big+Fish.txt
m31 , birthday girl ,2001,6,13497," ['comedy', 'crime', 'romance', 'thriller']", http://www.dailyscript.com/scripts/Birthday+Girl.txt
m32 , black snake moan ,2006,7.1,28509, ['drama'], http://www.dailyscript.com/scripts/Black%20Snake%20Moan.txt
m33 , black rain ,1989,I ,6.4,16249, http://www.angelfire.com/movies/ridleyscott/script/BlackRain.txt
m34 , blade runner ,1982,8.3,188735," ['drama', 'sci-fi', 'thriller']", http://www.dailyscript.com/scripts/blade-runner_shooting.html
m35 , blast from the past ,1999,6.4,23489," ['comedy', 'drama', 'romance']", http://www.hundland.org/scripts/Blast-from-the-Past.htm
m36 , blue velvet ,1986,7.8,54576," ['crime', 'mystery', 'thriller']", http://www.dailyscript.com/scripts/Blue+Velvet.txt
m37 , the boondock saints ,1999,7.8,87895," ['action', 'crime', 'drama', 'thriller']", http://www.dailyscript.com/scripts/Boondock%20Saints
m38 , bottle rocket ,1996,7.2,22303," ['comedy', 'crime']", http://www.dailyscript.com/scripts/Bottle+Rocket.txt
m39 , the bourne supremacy ,2004,7.6,106349," ['action', 'adventure', 'mystery', 'thriller']", http://www.dailyscript.com/scripts/Bourne+Supremacy
m40 , braveheart ,1995,8.4,245652," ['action', 'biography', 'drama', 'history', 'war']", http://www.dailyscript.com/scripts/Braveheart.txt
m41 , the butterfly effect ,2004,7.8,104917," ['drama', 'mystery', 'sci-fi', 'thriller']", http://www.dailyscript.com/scripts/Butterfly+Effect
m42 , casablanca ,1942,8.8,170874," ['drama', 'romance', 'war']", http://www.dailyscript.com/scripts/Casablanca.txt
m43 , cast away ,2000,7.5,104477," ['adventure', 'drama']", http://www.hundland.org/scripts/CastAway.txt
m44 , the cider house rules ,1999,7.5,38836," ['drama', 'romance']", http://www.dailyscript.com/scripts/Cider%20House%20Rules
m45 , confidence ,2003,6.8,17235," ['crime', 'thriller']", http://www.dailyscript.com/scripts/Confidence.txt
m46 , croupier ,1998,7.2,9060," ['crime', 'drama']", http://www.dailyscript.com/scripts/Croupier.txt
m47 , dark star ,1974,6.5,8303," ['comedy', 'sci-fi', 'thriller']", http://www.dailyscript.com/scripts/Dark+Star.txt
m48 , dark angel ,1990,5.3,3452," ['action', 'crime', 'drama', 'horror', 'sci-fi', 'thriller']", http://www.hundland.org/scripts/DarkAngel.txt
m49 , detroit rock city ,1999,6.5,14666," ['comedy', 'music']", http://www.dailyscript.com/scripts/Detroit+Rock+City.txt
m50 , donnie darko ,2001,8.3,215194," ['drama', 'mystery', 'sci-fi']", http://www.dailyscript.com/scripts/Donnie+Darko.txt
m51 , drop dead gorgeous ,1999,6.3,16417," ['comedy', 'adult']", http://www.dailyscript.com/scripts/Drop+Dead+Gorgeous.txt
m52 , duck soup ,1933,8.1,27112," ['comedy', 'musical']", http://www.dailyscript.com/scripts/Duck%20Soup.txt
m53 , the elephant man ,1980,8.4,59625," ['biography', 'drama', 'history']", http://www.dailyscript.com/scripts/Elephant+Man
m54 , erik the viking ,1989,5.9,5889," ['comedy', 'adventure', 'fantasy']", http://www.dailyscript.com/scripts/Erik+The+Viking.txt
m55 , eternal sunshine of the spotless mind ,2004,8.5,224838," ['drama', 'romance', 'sci-fi']", http://www.dailyscript.com/scripts/Eternal+Sunshine+Of+The+Spotless+Mind.txt
m56 , even cowgirls get the blues ,1993,4,3947," ['comedy', 'drama', 'romance', 'western']", http://www.dailyscript.com/scripts/Even%20Cowgirls%20Get%20The%20Blues.txt
m57 , event horizon ,1997,6.4,45497," ['horror', 'mystery', 'mystery', 'sci-fi', 'sci-fi']", http://www.dailyscript.com/scripts/Event%20Horizon.txt
m58 , fantastic four ,2005,5.7,72581," ['action', 'adventure', 'fantasy', 'sci-fi', 'fantasy']", http://www.dailyscript.com/scripts/Fantastic+Four.txt
m59 , fast times at ridgemont high ,1982,7.2,31710," ['comedy', 'drama', 'romance']", http://www.dailyscript.com/scripts/Fast+Times+At+Ridgemont+High.txt
m60 , fear and loathing in las vegas ,1998,7.6,82748," ['drama', 'fantasy']", http://www.dailyscript.com/scripts/Fear+&+Loathing+In+Las+Vegas.txt
m61 , feast ,2005,6.4,12248," ['action', 'comedy', 'horror', 'thriller']", http://www.dailyscript.com/scripts/Feast%20-%20Revised%20Draft.txt
m62 , frances ,1982,7.2,2756," ['biography', 'drama']", http://www.dailyscript.com/scripts/Frances.txt
m63 , frankenstein ,1931,8,23522," ['drama', 'horror', 'sci-fi']", http://www.dailyscript.com/scripts/Frankenstein+(1994).txt
m64 , friday the 13th ,2009,5.6,27499, ['horror'], http://www.dailyscript.com/scripts/Friday%20The%2013th.txt
m65 , from dusk till dawn ,1996,7.1,81559," ['action', 'crime', 'horror', 'thriller']", http://www.dailyscript.com/scripts/From%20Dusk%20Till%20Dawn.txt
m66 , g.i. jane ,1997,5.6,24068," ['action', 'drama']", http://www.angelfire.com/movies/ridleyscott/script/GIJane.txt
m67 , godzilla ,1998,4.9,60310," ['action', 'horror', 'sci-fi', 'thriller']", http://www.scifiscripts.com/scripts/GODZILLAfirst.txt
m68 , galaxy quest ,1999,7.2,53004," ['action', 'adventure', 'comedy', 'sci-fi']", http://www.scifiscripts.com/scripts/GalaxyQuest.txt
m69 , george washington ,2000,7.5,3142, ['drama'], http://www.fortunecity.com/tattooine/clarke/38/scripts/GeorgeWashington.txt
m70 , get shorty ,1995,6.9,33588," ['comedy', 'crime', 'thriller']", http://www.dailyscript.com/scripts/Get+Shorty.txt
m71 , ghost ship ,2002,5.3,26413," ['horror', 'mystery', 'thriller']", http://www.whiskeyloosetongue.com/scripts/ghostship.html
m72 , ghost world ,2001,7.7,43550," ['comedy', 'drama']", http://www.dailyscript.com/scripts/Ghost%20World.txt
m73 , the ghost and the darkness ,1996,6.6,19954," ['adventure', 'drama', 'thriller']", http://www.dailyscript.com/scripts/Ghost%20And%20The%20Darkness
m74 , ghostbusters ii ,1989,6.1,45450," ['action', 'adventure', 'comedy', 'fantasy', 'sci-fi', 'action', 'adventure', 'comedy', 'sci-fi']", http://www.scifiscripts.com/scripts/Ghostbusters-2.txt
m75 , ghostbusters ,1986,6.9,237," ['animation', 'comedy', 'fantasy', 'sci-fi', 'horror']", http://www.scifiscripts.com/scripts/Ghostbusters.txt
m76 , gladiator ,2000,8.4,286067," ['action', 'adventure', 'drama']", http://www.angelfire.com/movies/ridleyscott/script/gladiator_seconddraft.txt
m77 , the graduate ,1967,8.2,79677," ['comedy', 'drama', 'romance']", http://www.dailyscript.com/scripts/Graduate
m78 , grand hotel ,1932,7.7,6088," ['drama', 'romance']", http://www.dailyscript.com/scripts/Grand%20Hotel.txt
m79 , the grifters ,1990,7,11481," ['crime', 'drama', 'thriller']", http://www.dailyscript.com/scripts/Grifters_Westlake.html
